id,name,balls_bowled,balls_faced,fielded
796,Shivam Sharma,114,3,1
797,VH Zol,0,26,0
798,K Santokie,51,0,1
799,BE Hendricks,157,3,3
800,JW Hastings,61,0,0
801,Karanveer Singh,213,17,2
802,DJ Muthuswami,84,3,0
803,RG More,37,2,1
804,B Aparajith,0,0,1
805,GS Sandhu,48,0,0
806,P Sahu,107,13,0
807,KJ Abbott,102,8,0
808,PSP Handscomb,0,12,0
809,SM Boland,43,0,0
810,UT Khawaja,0,105,1
811,F Behardien,0,13,1
812,ER Dwivedi,0,15,2
